Continent,Country,MonthYear,Year,Month,Avg_Population_Density,Avg_Fertility_Rate,Avg_GDP_PPP,Avg_Corruption,Avg_Government_Effectiveness,Avg_Political_Stability,Avg_Rule_of_Law,Avg_Government_Healthcare_Spend,Avg_Urban_Population,Avg_Smoking_Prevalence,Avg_Tourism,Avg_Women_In_Parliament,Avg_Obesity_Rate,Demographics_Recorded_Year,Avg_Diabetes Prevelance % of Population 20-79,Avg_Labour Force Total,Avg_Population,Avg_Population Aged 65 and above % of Total,Avg_Urban Population,Avg_Death Rate Per 1000 (2017),"Avg_PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) (2017)","Avg_PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) (2017)"
Africa,Nigeria,Aug-2020,2020,8,226,5.25,5300,-1.04489,-1.022591,-2.1927,-0.8809231,0.1418326,0.167,0.058,,0.03380282,0.08899999,2019,3.1,59873566,200963599,2.743083338,102806948,12.114,71.79817438,100
Africa,Nigeria,Sep-2020,2020,9,226,5.25,5300,-1.04489,-1.022591,-2.1927,-0.8809231,0.1418326,0.167,0.058,,0.03380282,0.08899999,2019,3.1,59873566,200963599,2.743083338,102806948,12.114,71.79817438,100
Africa,Nigeria,Oct-2020,2020,10,226,5.25,5300,-1.04489,-1.022591,-2.1927,-0.8809231,0.1418326,0.167,0.058,,0.03380282,0.08899999,2019,3.1,59873566,200963599,2.743083338,102806948,12.114,71.79817438,100
Africa,Rwanda,Mar-2020,2020,3,525,3.6,2230,0.5782577,0.2068089,0.1159507,0.1181115,0.3433142,0.0867,0.123,,0.6125,0.058,2019,5.1,6362559,12626950,3.028253062,2186104,5.308,43.21021716,100
Africa,Rwanda,Apr-2020,2020,4,525,3.6,2230,0.5782577,0.2068089,0.1159507,0.1181115,0.3433142,0.0867,0.123,,0.6125,0.058,2019,5.1,6362559,12626950,3.028253062,2186104,5.308,43.21021716,100
Africa,Rwanda,May-2020,2020,5,525,3.6,2230,0.5782577,0.2068089,0.1159507,0.1181115,0.3433142,0.0867,0.123,,0.6125,0.058,2019,5.1,6362559,12626950,3.028253062,2186104,5.308,43.21021716,100
Africa,Rwanda,Jun-2020,2020,6,525,3.6,2230,0.5782577,0.2068089,0.1159507,0.1181115,0.3433142,0.0867,0.123,,0.6125,0.058,2019,5.1,6362559,12626950,3.028253062,2186104,5.308,43.21021716,100
Africa,Rwanda,Jul-2020,2020,7,525,3.6,2230,0.5782577,0.2068089,0.1159507,0.1181115,0.3433142,0.0867,0.123,,0.6125,0.058,2019,5.1,6362559,12626950,3.028253062,2186104,5.308,43.21021716,100
Africa,Rwanda,Aug-2020,2020,8,525,3.6,2230,0.5782577,0.2068089,0.1159507,0.1181115,0.3433142,0.0867,0.123,,0.6125,0.058,2019,5.1,6362559,12626950,3.028253062,2186104,5.308,43.21021716,100
Africa,Rwanda,Sep-2020,2020,9,525,3.6,2230,0.5782577,0.2068089,0.1159507,0.1181115,0.3433142,0.0867,0.123,,0.6125,0.058,2019,5.1,6362559,12626950,3.028253062,2186104,5.308,43.21021716,100
Africa,Rwanda,Oct-2020,2020,10,525,3.6,2230,0.5782577,0.2068089,0.1159507,0.1181115,0.3433142,0.0867,0.123,,0.6125,0.058,2019,5.1,6362559,12626950,3.028253062,2186104,5.308,43.21021716,100
Africa,Sao Tome and Principe,Apr-2020,2020,4,228,4.22,3090,0.1838712,-0.6393903,0.5335671,-0.6863676,0.4560299,,,33400,0.1454546,0.124,2019,2.4,71899,215056,2.960159214,158277,4.908,28.53958436,100
Africa,Sao Tome and Principe,May-2020,2020,5,228,4.22,3090,0.1838712,-0.6393903,0.5335671,-0.6863676,0.4560299,,,33400,0.1454546,0.124,2019,2.4,71899,215056,2.960159214,158277,4.908,28.53958436,100
Africa,Sao Tome and Principe,Jun-2020,2020,6,228,4.22,3090,0.1838712,-0.6393903,0.5335671,-0.6863676,0.4560299,,,33400,0.1454546,0.124,2019,2.4,71899,215056,2.960159214,158277,4.908,28.53958436,100
Africa,Sao Tome and Principe,Jul-2020,2020,7,228,4.22,3090,0.1838712,-0.6393903,0.5335671,-0.6863676,0.4560299,,,33400,0.1454546,0.124,2019,2.4,71899,215056,2.960159214,158277,4.908,28.53958436,100
